uniprot_id,used_in_high_agreement_dataset,used_in_extended_dataset,pdb_codes
O14776,False,True,2MW9; 2MWA; 2MWB; 2MWD; 2MWE; 2MWF; 2N4R; 2N4S; 2N4T; 2N4U; 2N4V; 2N4W; 2NNT
O75400,True,False,1UZC; 2KZG; 2L9V; 2LKS
O95931,False,True,2K1B; 2L12; 2L1B; 4MN3; 5EPJ; 6V2R; 8SII
P00523,False,True,1NLO; 1NLP; 1PRL; 1PRM; 1RLP; 1RLQ; 1SRL; 1SRM; 2PTK; 3FJ5; 4HVU; 4HVV; 4HVW; 4JZ3; 4JZ4; 4LE9; 4OML; 4OMM; 4OMN; 4OMO; 4OMP; 4OMQ; 4QT7; 4RTU; 4RTV; 4RTW; 4RTX; 4RTY; 4RTZ; 5EC7; 5ECA; 5I11; 5OAV; 5OB0; 5OB1; 5OB2; 6XVM; 6XVN; 6XVO; 6XX2; 6XX3; 6XX4; 6XX5; 7A30; 7A31; 7A32; 7A33; 7A34; 7A35; 7A36; 7A37; 7A38; 7A39; 7A3A; 7A3B; 7A3C; 7A3D; 7A3E; 7NER; 7NET; 7PVW; 7PVX; 7PVY; 7PVZ; 7PW0
P02417,True,False,1CQU; 1DIV; 2HBA; 2HBB; 2HVF
P02640,False,True,1QQV; 1VII; 1WY3; 1WY4; 1YRF; 1YRI; 1YU5; 1YU7; 1YU8; 2F4K; 2JM0; 2PPZ; 2RJV; 2RJW; 2RJX; 2RJY; 3MYA; 3MYC; 3MYE; 3NKJ; 3TJW; 3TRV; 3TRW; 4CZ3; 4CZ4; 5I1N; 5I1O; 5I1P; 5I1S; 9MF7; 9MF8; 9MF9; 9MFA
P02836,False,True,1DU0; 1ENH; 1HDD; 1P7I; 1P7J; 1ZTR; 2HDD; 2HOS; 2HOT; 2JWT; 2P81; 3HDD; 6FVC; 6M3D
P03040,False,True,1COP; 1D1L; 1D1M; 1ORC; 2A63; 2ORC; 2OVG; 3ORC; 5CRO; 6CRO
P06239,False,True,1H92; 1KIK; 1LCK; 1X27; 2IIM; 4D8K; 5MTM; 8X2P
P06241,True,True,1A0N; 1AZG; 1FYN; 1G83; 1NYF; 1NYG; 1SHF; 1ZBJ; 3H0F; 3H0H; 3H0I; 3UA6; 3UA7; 4EIK; 4ZNX; 6EDF; 6IPY; 6IPZ; 7A2J; 7A2K; 7A2L; 7A2M; 7A2N; 7A2O; 7A2P; 7A2Q; 7A2R; 7A2S; 7A2T; 7A2U; 7A2V; 7A2W; 7A2X; 7A2Y; 7A2Z; 7UD6; 8KDX
P06654,True,True,1EM7; 1GB1; 1IGD; 1MPE; 1MVK; 1PGA; 1PGB; 1PGX; 1Q10; 2GB1; 2IGD; 2IGH; 2J52; 2J53; 2K0P; 2KLK; 2LGI; 2N7J; 2NMQ; 2PLP; 2RMM; 2RPV; 3GB1; 3MP9; 4KGR; 4KGS; 4KGT; 6CNE; 6L91; 6L9B; 6L9D; 6LJI; 7QTR; 7QTS; 7RXC; 7RXD
P07751,False,True,1AEY; 1BK2; 1E6G; 1E6H; 1E7O; 1H8K; 1HD3; 1M8M; 1NEG; 1PWT; 1QKW; 1QKX; 1SHG; 1TUC; 1TUD; 1U06; 1UUE; 2CDT; 2F2V; 2F2W; 2F2X; 2JM8; 2JM9; 2JMA; 2JMC; 2KR3; 2KXD; 2LJ3; 2NUZ; 2OAW; 2RMO; 2ROT; 3I9Q; 3M0P; 3M0Q; 3M0R; 3M0S; 3M0T; 3M0U; 3NGP; 4F16; 4F17; 5IHI; 5IHN; 7S4R; 8CF4; 8CHG; 8CHH
P08631,False,True,1AD5; 1BU1; 2C0I; 2C0O; 2C0T; 2HCK; 2OI3; 2OJ2; 3NHN; 3VRY; 3VRZ; 3VS0; 3VS1; 3VS2; 3VS3; 3VS4; 3VS5; 3VS6; 3VS7; 4HCK; 4LUD; 4LUE; 5H09; 5H0B; 5H0E; 5H0G; 5H0H; 5HCK
P0AFG6,False,True,1BAL; 1BBL; 1W4H; 2BTG; 2BTH; 2WXC
P0DP33,False,True,1CFC; 1CFD; 1CFF; 1CKK; 1DMO; 1F71; 1IQ5; 1MUX; 1NWD; 1SY9; 1X02; 2KDU; 2LLQ; 2MES; 2RRT; 5J7J; 5T0X; 6CTB
P11961,False,True,1W3D; 1W4E; 1W4F; 1W4G; 2PDD; 2PDE
P16117,False,True,1PER; 1PRA; 1R63; 1R69; 1RPE; 1SQ8; 2OR1; 2R63
P19909,False,True,1FCL; 1FD6; 1GJS; 1GJT; 1P7E; 1P7F; 1ZXH; 2IGG; 2LUM; 2OED; 5UB0; 5UBS; 5UCE; 5UCF; 6NJF; 8WCJ; 9FA8
P32081,False,True,1CSP; 1CSQ; 1NMF; 1NMG; 2ES2; 2F52; 2I5L; 2I5M; 3PF4; 3PF5; 6SZZ; 6T00
P38507,False,True,1BDC; 1BDD; 1H0T; 1LP1; 1Q2N; 1SS1; 2JWD; 2M5A; 2SPZ; 4NPF; 5COC; 5EWX; 5H76; 5H79; 5H7A; 5H7B; 5H7C; 5H7D; 5X3F; 5XBY; 8CPL
P39476,False,True,1BBX; 1BNZ; 1C8C; 1JIC; 5B02; 5B03; 5B0I; 5B0J; 5B0K; 5B0L; 5B0M; 5GWV; 5GWW; 6J8V; 6J8W
P40040,True,False,1H1J; 2WQG; 4UZW; 4UZX
P46934,False,True,2KPZ; 2KQ0; 2M3O; 4N7F; 4N7H; 5AHT
P48052,True,False,1AYE; 1O6X
P54725,False,True,1IFY; 1OQY; 1QZE; 6W2G; 6W2H; 6W2I; 7TGP
Q13526,True,True,1F8A; 1I6C; 1I8G; 1I8H; 1NMV; 1PIN; 1ZCN; 2F21; 2ITK; 2KBU; 2KCF; 2LB3; 2M8I; 2M8J; 2M9E; 2M9F; 2M9I; 2M9J; 2N1O; 2Q5A; 2XP3; 2XP4; 2XP5; 2XP6; 2XP7; 2XP8; 2XP9; 2XPA; 2XPB; 2ZQS; 2ZQT; 2ZQU; 2ZQV; 2ZR4; 2ZR5; 2ZR6; 3KAB; 3KAD; 3KAF; 3KAG; 3KAH; 3KAI; 3KCE; 3NTP; 3ODK; 3OOB; 3TC5; 3TCZ; 3TDB; 3WH0; 4GWT; 4GWV; 4QIB; 4U84; 4U85; 4U86; 5B3W; 5B3X; 5B3Y; 5B3Z; 5BMY; 5UY9; 5VTI; 5VTJ; 5VTK; 6O33; 6O34; 6SVC; 6SVE; 6SVH; 6VAJ; 7EFJ; 7EFX; 7EKV; 7F0M; 7SA5; 7SUQ; 7SUR; 8SG2; 8VJF; 9IT1
Q53UJ4,False,True,5XQN; 5XQP; 5XQR; 5XQU; 5XQV; 5XR0
Q8VL32,False,True,1UTX; 2GZU; 2LYJ; 2LYK; 2LYL; 2LYP; 2LYQ; 2LYR; 2LYS; 2XI8; 2XIU; 2XJ3
Q9BX66,False,True,2ECZ; 2MOX; 2O2W; 2O31; 2O9S; 2O9V; 4LN2
Q9UBX2,False,True,5Z2S; 5Z2T; 5Z6Z; 5ZFW; 5ZFY; 5ZFZ; 6A8R; 6DFY; 6E8C; 6U81; 6U82
