uniprot_id,interpro_superfamily_id,interpro_superfamily_name,superfamily_uniprot_residues,n_pdb_ids_total_for_uniprot,n_pdb_ids_overlapping,pdb_ids_overlapping,notes
A0A066R7V5,IPR036259,MFS transporter superfamily,,1,1,2ru9,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
A0A0H2URM0,,,,1,,2m7o,no homologous_superfamily-type entry found for this protein; pdb_ids listed without any overlap filtering.
A0A0H2YV13,IPR036028,SH3-like domain superfamily,,1,1,2kyb,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
A0A0H3AYC3,IPR012340,"Nucleic acid-binding, OB-fold",,1,1,2lss,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
A0A0J9X1W7,IPR009063,Immunoglobulin/albumin-binding domain superfamily,,1,1,2mh8,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
A0A173DW12,IPR036736,ACP-like superfamily,1466-1546,1,0,,
A0A173DW12,IPR045851,AMP-binding enzyme domain superfamily,"947-1025, 1370-1465",1,0,,
A0A173DW12,IPR023213,Chloramphenicol acetyltransferase-like domain superfamily,80-448,1,0,,
A0A173DW12,IPR029063,S-adenosyl-L-methionine-dependent methyltransferase superfamily,1026-1225,1,0,,
A0A173DW12,IPR044894,"TubC, N-terminal docking domain superfamily",4-56,1,1,6ewt,
A0A173DW33,IPR036736,ACP-like superfamily,1070-1151,1,0,,
A0A173DW33,IPR045851,AMP-binding enzyme domain superfamily,944-1069,1,0,,
A0A173DW33,IPR023213,Chloramphenicol acetyltransferase-like domain superfamily,80-448,1,0,,
A0A173DW33,IPR044894,"TubC, N-terminal docking domain superfamily",4-56,1,1,6ews,
A0A173DW42,IPR023213,Chloramphenicol acetyltransferase-like domain superfamily,85-464,2,0,,
A0A173DW42,IPR044894,"TubC, N-terminal docking domain superfamily",4-56,2,2,6ewu; 6ewv,
A0A480YEE4,IPR036028,SH3-like domain superfamily,,1,1,6scw,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
A3DBH1,IPR008965,"CBM2/CBM3, carbohydrate-binding domain superfamily",338-485,4,1,4b9c,
A3DBH1,IPR036966,Carbohydrate-binding module 3 superfamily,337-485,4,1,4b9c,
A6T888,IPR038146,Rac prophage excisionase XisR-like,,1,1,2kvv,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
A9J6U1,,,,1,,6yse,no homologous_superfamily-type entry found for this protein; pdb_ids listed without any overlap filtering.
C4M3X7,IPR016197,Chromo-like domain superfamily,,1,1,2m2l,only one homologous_superfamily entry exists for this protein; all pdb_ids attributed to it without residue-range overlap checking.
