uniprot_id,pdb_id,rank,status,reason,chain,offset,n_residues,out_path
P06241,2DQ7,1,ok,,X,260,263,../Output/ENM_dfs\ENM_P06241_2DQ7.csv
P06241,1G83,2,ok,,A,0,161,../Output/ENM_dfs\ENM_P06241_1G83.csv
P07751,1U4Q,1,ok,,A,0,318,../Output/ENM_dfs\ENM_P07751_1U4Q.csv
P07751,1E6H,2,ok,,A,963,61,../Output/ENM_dfs\ENM_P07751_1E6H.csv
P32081,1CSP,1,ok,,A,0,67,../Output/ENM_dfs\ENM_P32081_1CSP.csv
P06654,1PGX,1,ok,,A,283,70,../Output/ENM_dfs\ENM_P06654_1PGX.csv
P06654,3MP9,2,ok,,A,218,61,../Output/ENM_dfs\ENM_P06654_3MP9.csv
P02836,2JWT,1,ok,,A,453,61,../Output/ENM_dfs\ENM_P02836_2JWT.csv
P19909,2IGG,1,ok,,A,366,64,../Output/ENM_dfs\ENM_P19909_2IGG.csv
P19909,2N9K,2,ok,,A,300,57,../Output/ENM_dfs\ENM_P19909_2N9K.csv
P19909,1P7E,3,ok,,A,441,56,../Output/ENM_dfs\ENM_P19909_1P7E.csv
P19909,1GJS,4,ok,,A,234,65,../Output/ENM_dfs\ENM_P19909_1GJS.csv
P06239,2OFU,1,ok,,A,0,273,../Output/ENM_dfs\ENM_P06239_2OFU.csv
P06239,1LCK,2,ok,,A,0,164,../Output/ENM_dfs\ENM_P06239_1LCK.csv
P06239,1Q69,3,ok,,B,0,29,../Output/ENM_dfs\ENM_P06239_1Q69.csv
Q13526,1NMV,1,ok,,A,0,163,../Output/ENM_dfs\ENM_Q13526_1NMV.csv
P54725,1OQY,1,ok,,A,0,363,../Output/ENM_dfs\ENM_P54725_1OQY.csv
P39476,1BNZ,1,ok,,A,0,64,../Output/ENM_dfs\ENM_P39476_1BNZ.csv
P38507,1BDC,1,ok,,A,210,60,../Output/ENM_dfs\ENM_P38507_1BDC.csv
P38507,1EDI,2,ok,,A,36,56,../Output/ENM_dfs\ENM_P38507_1EDI.csv
P38507,4ZMD,3,ok,,A,269,56,../Output/ENM_dfs\ENM_P38507_4ZMD.csv
P38507,5CBO,4,ok,,A,-1116,176,../Output/ENM_dfs\ENM_P38507_5CBO.csv
P03040,1COP,1,ok,,D,0,66,../Output/ENM_dfs\ENM_P03040_1COP.csv
P16117,1PRA,1,ok,,A,1,69,../Output/ENM_dfs\ENM_P16117_1PRA.csv
P00523,2PTK,1,ok,,A,0,426,../Output/ENM_dfs\ENM_P00523_2PTK.csv
P02640,2VIK,1,ok,,A,1,126,../Output/ENM_dfs\ENM_P02640_2VIK.csv
P02640,2LLF,2,ok,,A,618,107,../Output/ENM_dfs\ENM_P02640_2LLF.csv
P02640,1QQV,3,ok,,A,750,67,../Output/ENM_dfs\ENM_P02640_1QQV.csv
P11961,1B5S,1,ok,,A,1,242,../Output/ENM_dfs\ENM_P11961_1B5S.csv
P11961,1LAB,2,ok,,A,1,80,../Output/ENM_dfs\ENM_P11961_1LAB.csv
P11961,1W3D,3,ok,,A,0,45,../Output/ENM_dfs\ENM_P11961_1W3D.csv
P0AFG6,1SCZ,1,ok,,A,1,233,../Output/ENM_dfs\ENM_P0AFG6_1SCZ.csv
P0AFG6,1PMR,2,ok,,A,1,80,../Output/ENM_dfs\ENM_P0AFG6_1PMR.csv
P0AFG6,1BAL,3,ok,,A,102,51,../Output/ENM_dfs\ENM_P0AFG6_1BAL.csv
O95931,2L12,1,ok,,A,6,56,../Output/ENM_dfs\ENM_O95931_2L12.csv
Q8VL32,1UTX,1,ok,,A,0,66,../Output/ENM_dfs\ENM_Q8VL32_1UTX.csv
O14776,4FQG,1,ok,,B,891,189,../Output/ENM_dfs\ENM_O14776_4FQG.csv
O14776,3HFH,2,ok,,B,0,160,../Output/ENM_dfs\ENM_O14776_3HFH.csv
O14776,2DK7,3,ok,,A,512,73,../Output/ENM_dfs\ENM_O14776_2DK7.csv
O14776,2N4R,4,ok,,A,0,37,../Output/ENM_dfs\ENM_O14776_2N4R.csv
Q9BX66,2MOX,1,ok,,A,0,143,../Output/ENM_dfs\ENM_Q9BX66_2MOX.csv
Q9BX66,2LJ0,2,ok,,A,1227,65,../Output/ENM_dfs\ENM_Q9BX66_2LJ0.csv
P0DP33,1CFC,1,ok,,A,1,148,../Output/ENM_dfs\ENM_P0DP33_1CFC.csv
P08631,5H09,1,ok,,A,-5,447,../Output/ENM_dfs\ENM_P08631_5H09.csv
P46934,2XBB,1,ok,,A,419,375,../Output/ENM_dfs\ENM_P46934_2XBB.csv
P46934,3B7Y,2,ok,,B,319,146,../Output/ENM_dfs\ENM_P46934_3B7Y.csv
P46934,2M3O,3,ok,,W,419,43,../Output/ENM_dfs\ENM_P46934_2M3O.csv
Q53UJ4,5XQV,1,ok,,A,21,66,../Output/ENM_dfs\ENM_Q53UJ4_5XQV.csv
Q9UBX2,6E8C,1,ok,,A,0,135,../Output/ENM_dfs\ENM_Q9UBX2_6E8C.csv
